Toplam kelime sayısı: 4993
Benzersiz kelime sayısı: 1529

==================================================

SIRA | KELİME | TEKRAR SAYISI
1045 | sembravano                     | 1
1046 | preoccupati                    | 1
1047 | succede                        | 1
1048 | l'agente                       | 1
1049 | noncuranza                     | 1
1050 | tenuti                         | 1
1051 | stretti                        | 1
1052 | conforto                       | 1
1053 | l'uno                          | 1
1054 | nell'altro                     | 1
1055 | la comunità                    | 1
1056 | una nostra                     | 1
1057 | giulia                         | 1
1058 | invitato                       | 1
1059 | supporto                       | 1
1060 | incontro                       | 1
1061 | altre                          | 1
1062 | coppie                         | 1
1063 | ognuno                         | 1
1064 | vittorie                       | 1
1065 | sentirsi                       | 1
1066 | regolarmente                   | 1
1067 | nuovi                          | 1
1068 | una comunità                   | 1
1069 | capiva                         | 1
1070 | sosteneva                      | 1
1071 | il supporto                    | 1
1072 | della comunità                 | 1
1073 | pubblicare                     | 1
1074 | sappiano                       | 1
1075 | queer                          | 1
1076 | normale                        | 1
1077 | virale                         | 1
1078 | migliaia                       | 1
1079 | l'hanno                        | 1
1080 | letta                          | 1
1081 | ricevuto                       | 1
1082 | condiviso                      | 1
1083 | la vostra                      | 1
1084 | avete                          | 1
1085 | dato                           | 1
1086 | speranza                       | 1
1087 | un'ispirazione                 | 1
1088 | una ragazza                    | 1
1089 | certo                          | 1
1090 | commenti                       | 1
1091 | negativi                       | 1
1092 | i messaggi                     | 1
1093 | positivi                       | 1
1094 | molti                          | 1
1095 | la proposta                    | 1
1096 | anniversario                   | 1
1097 | portata                        | 1
1098 | dichiarati                     | 1
1099 | quest'anno                     | 1
1100 | passare                        | 1
1101 | tutta                          | 1
1102 | belli                          | 1
1103 | nella gioia                    | 1
1104 | nel dolore                     | 1
1105 | inginocchiato                  | 1
1106 | una piccola                    | 1
1107 | scatola                        | 1
1108 | sposare                        | 1
1109 | scendevano                     | 1
1110 | l'anello                       | 1
1111 | semplice                       | 1
1112 | baciati                        | 1
1113 | tramontava                     | 1
1114 | proprio                        | 1
1115 | la preparazione                | 1
1116 | i mesi                         | 1
1117 | un turbine                     | 1
1118 | dovevamo                       | 1
1119 | preparare                      | 1
1120 | scelto                         | 1
1121 | sposarci                       | 1
1122 | estate                         | 1
1123 | agriturismo                    | 1
1124 | una cerimonia                  | 1
1125 | amavamo                        | 1
1126 | aiutata                        | 1
1127 | scegliere                      | 1
1128 | il vestito                     | 1
1129 | aiutato                        | 1
1130 | le decorazioni                 | 1
1131 | sposi                          | 1
1132 | del matrimonio                 | 1
1133 | il più                         | 1
1134 | azzurro                        | 1
1135 | bellissimo                     | 1
1136 | nel suo                        | 1
1137 | completo                       | 1
1138 | blu                            | 1
1139 | guardati                       | 1
1140 | sposo                          | 1
1141 | sostenerti                     | 1
1142 | al tuo                         | 1
1143 | sposa                          | 1
1144 | costruire                      | 1
1145 | una vita                       | 1
1146 | meravigliosa                   | 1
1147 | dichiarato                     | 1
1148 | applaudito                     | 1
1149 | epilogo                        | 1
1150 | passati                        | 1
1151 | tre                            | 1
1152 | dal nostro                     | 1
1153 | matrimonio                     | 1
1154 | viviamo                        | 1
1155 | naturalmente                   | 1
1156 | chiama                         | 1
1157 | insegno                        | 1
1158 | un liceo                       | 1
1159 | ai miei                        | 1
1160 | studenti                       | 1
1161 | della diversità                | 1
1162 | dell'accettazione              | 1
1163 | facile                         | 1
1164 | capiscono                      | 1
1165 | affrontare                     | 1
1166 | dice                           | 1
1167 | rispondo                       | 1
1168 | confini                        | 1
1169 | genere                         | 1
1170 | limiti                         | 1
1171 | semplicemente                  | 1
1172 | la prova                       | 1
1173 | vivente                        | 1
1174 | vince                          | 1
1175 | **fine**                       | 1
1176 | perciò                         | 1
1177 | stupire                        | 1
1178 | dal niente                     | 1
1179 | faccio                         | 1
1180 | drammi                         | 1
1181 | denaro                         | 1
1182 | scompaia                       | 1
1183 | gli altri                      | 1
1184 | perdono                        | 1
1185 | gli sbagli                     | 1
1186 | commesso                       | 1
1187 | dura                           | 1
1188 | stai                           | 1
1189 | puntando                       | 1
1190 | al cielo                       | 1
1191 | le cose                        | 1
1192 | importanti                     | 1
1193 | diamanti                       | 1
1194 | demoni                         | 1
1195 | santi                          | 1
1196 | frega                          | 1
1197 | un cazzo                       | 1
1198 | zero                           | 1
1199 | dimostrarvi                    | 1
1200 | date                           | 1
1201 | al denaro                      | 1
1202 | dagli occhi                    | 1
1203 | puro                           | 1
1204 | codardi                        | 1
1205 | tardi                          | 1
1206 | farà                           | 1
1207 | resterai                       | 1
1208 | dagli altri                    | 1
1209 | sanno                          | 1
1210 | vestiti                        | 1
1211 | sporchi                        | 1
1212 | fra'                           | 1
1213 | fango                          | 1
1214 | giallo                         | 1
1215 | siga'                          | 1
1216 | fra                            | 1
1217 | le dita                        | 1
1218 | la siga'                       | 1
1219 | camminando                     | 1
1220 | scusami                        | 1
1221 | credo                          | 1
1222 | salto                          | 1
1223 | salita                         | 1
1224 | allenando                      | 1
1225 | buonasera                      | 1
1226 | signori                        | 1
1227 | gli attori                     | 1
1228 | toccarvi                       | 1
1229 | i coglioni                     | 1
1230 | zitti                          | 1
1231 | buoni                          | 1
1232 | spacciatori                    | 1
1233 | troppe                         | 1
1234 | notti                          | 1
1235 | mo                             | 1
1236 | li                             | 1
1237 | calci                          | 1
1238 | 'sti                           | 1
1239 | portoni                        | 1
1240 | sguardo                        | 1
1241 | scalatori                      | 1
1242 | lacrime                        | 1
1243 | questi                         | 1
1244 | uomini                         | 1
1245 | macchina                       | 1
1246 | scalare                        | 1
1247 | le rapide                      | 1
1248 | una lapide                     | 1
1249 | trovi                          | 1
1250 | il senso                       | 1
1251 | del tempo                      | 1
1252 | risalirai                      | 1
1253 | dal tuo                        | 1
1254 | oblio                          | 1
1255 | fermi                          | 1
1256 | la naturale                    | 1
1257 | potenza                        | 1
1258 | dal punto                      | 1
1259 | giusto                         | 1
1260 | del vento                      | 1
1261 | l'ebrezza                      | 1
1262 | ali                            | 1
1263 | cera                           | 1
1264 | alla schiena                   | 1
1265 | ricercherò                     | 1
1266 | quell'altezza                  | 1
1267 | fermarmi                       | 1
1268 | ritenta                        | 1
1269 | prova                          | 1
1270 | tagliarmi                      | 1
1271 | cazzo                          | 1
1272 | guerriera                      | 1
1273 | dal cuore                      | 1
1274 | zelante                        | 1
1275 | rose                           | 1
1276 | preziosi                       | 1
1277 | fili                           | 1
1278 | rame                           | 1
1279 | portali                        | 1
1280 | campane                        | 1
1281 | cantare                        | 1
1282 | vedrai                         | 1
1283 | prende                         | 1
1284 | il dolore                      | 1
1285 | degli altri                    | 1
1286 | lo porta                       | 1
1287 | diviso                         | 1
1288 | metà                           | 1
1289 | una bambina                    | 1
1290 | un peso                        | 1
1291 | spezzerà                       | 1
1292 | dirà                           | 1
1293 | vale                           | 1
1294 | riesce                         | 1
1295 | una misera                     | 1
1296 | una volta                      | 1
1297 | riuscirà                       | 1
1298 | un mostro                      | 1
1299 | la tiene                       | 1
1300 | gabbia                         | 1
1301 | le ricopre                     | 1
1302 | mine                           | 1
1303 | mangiare                       | 1
1304 | vorrebbe                       | 1
1305 | riparo                         | 1
1306 | d'inverno                      | 1
1307 | respiri                        | 1
1308 | capirò                         | 1
1309 | l'acqua                        | 1
1310 | bere                           | 1
1311 | il significato                 | 1
1312 | del bene                       | 1
1313 | un soldato                     | 1
1314 | piccola                        | 1
1315 | lacrima                        | 1
1316 | oceano                         | 1
1317 | vessillo                       | 1
1318 | scudo                          | 1
1319 | spada                          | 1
1320 | d'argento                      | 1
1321 | il frutto                      | 1
1322 | del suo                        | 1
1323 | ventre                         | 1
1324 | un padre                       | 1
1325 | le han                         | 1
1326 | un castello                    | 1
1327 | mura                           | 1
1328 | talmente                       | 1
1329 | potenti                        | 1
1330 | vai                            | 1
1331 | voci                           | 1
1332 | parlano                        | 1
1333 | dicono                         | 1
1334 | guardo                         | 1
1335 | allo specchio                  | 1
1336 | immagino                       | 1
1337 | al circo                       | 1
1338 | una giostra                    | 1
1339 | felicità                       | 1
1340 | diverto                        | 1
1341 | un miracolo                    | 1
1342 | ridicolo                       | 1
1343 | un attimo                      | 1
1344 | ditelo                         | 1
1345 | preparo                        | 1
1346 | valzer                         | 1
1347 | diavolo                        | 1
1348 | darmi                          | 1
1349 | del pazzo                      | 1
1350 | bastardo                       | 1
1351 | malato                         | 1
1352 | vino                           | 1
1353 | odiato                         | 1
1354 | canterai                       | 1
1355 | porterai                       | 1
1356 | i dettagli                     | 1
1357 | sulle braccia                  | 1
1358 | rimasta                        | 1
1359 | sulla barca                    | 1
1360 | riconosco                      | 1
1361 | i segni                        | 1
1362 | sulla faccia                   | 1
1363 | l'errore                       | 1
1364 | tuo                            | 1
1365 | amarmi                         | 1
1366 | uguale                         | 1
1367 | com'era                        | 1
1368 | bevo                           | 1
1369 | prego                          | 1
1370 | all'acqua                      | 1
1371 | del mare                       | 1
1372 | lontane                        | 1
1373 | le voglio                      | 1
1374 | brucerà                        | 1
1375 | i fogli                        | 1
1376 | parlan                         | 1
1377 | piangerai                      | 1
1378 | diluvierà                      | 1
1379 | portare                        | 1
1380 | inutili                        | 1
1381 | canteremo                      | 1
1382 | restando                       | 1
1383 | muti                           | 1
1384 | portarmi                       | 1
1385 | spaventa                       | 1
1386 | l'inverno                      | 1
1387 | stanno                         | 1
1388 | cedendo                        | 1
1389 | stupendo                       | 1
1390 | sai                            | 1
1391 | un metro                       | 1
1392 | yeeh                           | 1
1393 | stronzi                        | 1
1394 | bianchi                        | 1
1395 | faccia                         | 1
1396 | le malelingue                  | 1
1397 | il suono                       | 1
1398 | della tua                      | 1
1399 | brutta                         | 1
1400 | risata                         | 1
1401 | il passo                       | 1
1402 | la retta                       | 1
1403 | puntata                        | 1
1404 | aiutare                        | 1
1405 | volo                           | 1
1406 | tocco                          | 1
1407 | cado                           | 1
1408 | mica                           | 1
1409 | ridarle                        | 1
1410 | il dono                        | 1
1411 | della vita                     | 1
1412 | spaccarmi                      | 1
1413 | schiena                        | 1
1414 | gambe                          | 1
1415 | braccia                        | 1
1416 | fiero                          | 1
1417 | fatica                         | 1
1418 | pure                           | 1
1419 | girato                         | 1
1420 | spalle                         | 1
1421 | gli dicevo                     | 1
1422 | cadendo                        | 1
1423 | basta                          | 1
1424 | un raggio                      | 1
1425 | sole                           | 1
1426 | un soffio                      | 1
1427 | nel mezzo                      | 1
1428 | del niente                     | 1
1429 | cedono                         | 1
1430 | cammino                        | 1
1431 | il vento                       | 1
1432 | soffia                         | 1
1433 | lasciato                       | 1
1434 | all'orizzonte                  | 1
1435 | le case                        | 1
1436 | lontano                        | 1
1437 | le porte                       | 1
1438 | fortuna                        | 1
1439 | guance                         | 1
1440 | raccolto                       | 1
1441 | coperto                        | 1
1442 | spine                          | 1
1443 | coi                            | 1
1444 | morsi                          | 1
1445 | serpenti                       | 1
1446 | fermo                          | 1
1447 | le spire                       | 1
1448 | ascoltato                      | 1
1449 | bastardi                       | 1
1450 | il loro                        | 1
1451 | maledire                       | 1
1452 | convinto                       | 1
1453 | un viaggio                     | 1
1454 | d'ora                          | 1
1455 | alice                          | 1
1456 | meraviglie                     | 1
1457 | il cappellaio                  | 1
1458 | matto                          | 1
1459 | cammineremo                    | 1
1460 | fino                           | 1
1461 | porterà                        | 1
1462 | sui tuoi                       | 1
1463 | il bianco                      | 1
1464 | restiamo                       | 1
1465 | fretta                         | 1
1466 | una frase                      | 1
1467 | scritta                        | 1
1468 | detta                          | 1
1469 | perfetta                       | 1
1470 | trasparente                    | 1
1471 | illumina                       | 1
1472 | le debolezze                   | 1
1473 | della gente                    | 1
1474 | una lacrima                    | 1
1475 | salata                         | 1
1476 | bagna                          | 1
1477 | guancia                        | 1
1478 | accarezza                      | 1
1479 | sangue                         | 1
1480 | sulle mani                     | 1
1481 | scalerò                        | 1
1482 | le vette                       | 1
1483 | arrivare                       | 1
1484 | l'occhio                       | 1
1485 | umano                          | 1
1486 | interrompe                     | 1
1487 | imparare                       | 1
1488 | perdonare                      | 1
1489 | le mie                         | 1
1490 | colpe                          | 1
1491 | gli angeli                     | 1
1492 | han                            | 1
1493 | della morte                    | 1
1494 | corriamo                       | 1
1495 | c'ha                           | 1
1496 | sete                           | 1
1497 | vendetta                       | 1
1498 | ormai                          | 1
1499 | la sento                       | 1
1500 | stretta                        | 1
1501 | quiete                         | 1
1502 | la tempesta                    | 1
1503 | un pazzo                       | 1
1504 | lascia                         | 1
1505 | racconti                       | 1
1506 | sgualcita                      | 1
1507 | portavo                        | 1
1508 | tagli                          | 1
1509 | sui polsi                      | 1
1510 | benedetto                      | 1
1511 | trovo                          | 1
1512 | aggiungere                     | 1
1513 | affaccia                       | 1
1514 | vedrà                          | 1
1515 | giungere                       | 1
1516 | bilico                         | 1
1517 | l'essere                       | 1
1518 | vittima                        | 1
1519 | giudice                        | 1
1520 | un brivido                     | 1
1521 | le tenebre                     | 1
1522 | libera                         | 1
1523 | queste                         | 1
1524 | catene                         | 1
1525 | splendenti                     | 1
1526 | lucide                         | 1
1527 | fossero                        | 1
1528 | morti                          | 1
1529 | rinasci                        | 1
